Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Event Name,Country,ISO,Region,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured
2011-0341-PHL,2011,Natural,Meteorological,Storm,Typhoon Mina (Nanmadol),Philippines (the),PHL,South-Eastern Asia,"Quezon City area (Metropolitan Manila district, National Capital region (NCR) province), Zambales, Bulacan districts (Region III (Central Luzon) province), Iloilo district (Region IV (Southern Tagalog) province), Benguet, Abra, Mountain Province districts (Cordillera Administrative region (CAR) province), Catanduanes district (Region V (Bicol region) province), Zamboanga Del Sur district (Region IX (Zamboanga Peninsula) province), Region I (Ilocos region) province",2011,8,27,2011,8,29,43,37
2011-0379-PHL,2011,Natural,Meteorological,Storm,Typhoon Pedring (Nesat),Philippines (the),PHL,South-Eastern Asia,"Mindoro Occidental, Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Albay, Camarines Norte, Camarines Sur, Catanduanes districts (Region V (Bicol region) province), Antique, Iloilo districts (Region VI (Western Visayas) province), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) province",2011,9,24,2011,9,24,103,91
2011-0384-PHL,2011,Natural,Meteorological,Storm,Tropical Storm Ramon (Banyan),Philippines (the),PHL,South-Eastern Asia,"Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Capiz, Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Southern Leyte district (Region VIII (Eastern Visayas) province), Misamis Oriental district (Region X (Northern Mindanao) province), South Cotabato district (Region XII (Soccsksargen) province), Dinagat district (Region XIII (Caraga) province)",2011,10,13,2011,10,13,11,6
2011-0576-PHL,2011,Natural,Meteorological,Storm,Tropical Storm Haima (Egay),Philippines (the),PHL,South-Eastern Asia,"Autonomous region in Muslim Mindanao (ARMM), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog) Region IV-A (Calabarzon), Region IX (Zamboanga Peninsula), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",2011,6,14,2011,6,20,,
2011-0393-PHL,2011,Natural,Biological,Epidemic,Diarrhoea,Philippines (the),PHL,South-Eastern Asia,"Tinoto, Massim (Sarangani province)",2011,10,11,2011,10,18,3,200
2011-0563-PHL,2011,Natural,Biological,Epidemic,Cholera,Philippines (the),PHL,South-Eastern Asia,Palawan,2011,3,1,2011,4,18,20,
2011-0545-PHL,2011,Natural,Biological,Epidemic,Dengue,Philippines (the),PHL,South-Eastern Asia,"Cavite, Laguna, Batangas, Rizal, Quezon provinces",2011,1,1,2011,8,,33,
2011-0502-PHL,2011,Technological,Technological,Transport accident,,Philippines (the),PHL,South-Eastern Asia,Manilla,2011,12,10,2011,12,10,18,20
2011-0565-PHL,2011,Technological,Technological,Transport accident,Cargo,Philippines (the),PHL,South-Eastern Asia,Luzon Isl.,2011,12,25,2011,12,25,22,
2011-0333-TCD,2011,Natural,Biological,Epidemic,Cholera,Chad,TCD,Middle Africa,"Flanga, Gounougaya, Bongor, Guelendeng, N'Djam Est, N'Djam Centre, N'Djam Sud, Massaquete, Massakory, Bokoro, Lai, Kelo, Bere, Dourbali, Mandalia, Bousso, Massenya, Lere, Paia, Mao, Amtiman, Aboudia, BOL, Ngouri, Moussoro, Mongo, Bitkine, Mangaime, Benoye, Abeche, Melfi, Yao, Oumhadjer districts",2011,8,9,2011,10,14,433,
