Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Event Name,Country,ISO,Region,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured
2005-0160-IDN,2005,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,"Simeulue, Aceh Singkil districts (Nangroe Aceh Darussalam province) Nias, Nias Selatan districts (Sumatera Utara province)",2005,3,28,2005,3,28,915,1146
2005-0130-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Gaibandha, Rangpur districts (Rangpur province), Chandpur district (Chittagong province), Habiganj district (Sylhet province), Faridpur, Kishoreganj, Manikganj, Munshiganj districts (Dhaka province)",2005,3,20,2005,3,23,79,1500
2005-0088-BGD,2005,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,"Buriganga river, near Dacca",2005,2,19,2005,2,19,149,
2005-0076-BGD,2005,Technological,Technological,Transport accident,"Inter city express train ""Meghna""",Bangladesh,BGD,Southern Asia,Konsaigh village,2005,1,16,2005,1,16,,200
2005-0157-BGD,2005,Technological,Technological,Industrial accident,Garment Factory,Bangladesh,BGD,Southern Asia,Narayangaj (Dhaka),2005,1,6,2005,1,6,22,50
2005-0031-IDN,2005,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,Kota Palu district (Sulawesi Tengah province),2005,1,23,2005,1,23,1,4
2005-0089-IDN,2005,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,Bandung district (Jawa Barat province),2005,2,21,2005,2,21,143,
2005-0091-IDN,2005,Technological,Technological,Transport accident,Casa 212,Indonesia,IDN,South-Eastern Asia,Sarmi district,2005,3,22,2005,3,22,15,3
2005-0111-IDN,2005,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Kuala Kampar (Sumatra Isl.),2005,3,13,2005,3,13,33,
2005-0103-USA,2005,Natural,Hydrological,Flood,,United States of America (the),USA,Northern America,Los Angeles district (California province),2005,2,17,2005,2,23,9,
2005-0015-USA,2005,Natural,Hydrological,Flood,,United States of America (the),USA,Northern America,"La Conchita area (Ventura district, California province), Malibu area (Los Angeles district, California province), Sacramento district (California province), Arizona, Ohio provinces",2005,1,7,2005,1,11,28,8
2005-0029-USA,2005,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"New York, Connecticut, Wisconsin, Ohio, Maryland, Massachusetts, Iowa provinces",2005,1,22,2005,1,24,20,
2005-0009-USA,2005,Technological,Technological,Transport accident,,United States of America (the),USA,Northern America,Aiken county (South Carolina),2005,1,7,2005,1,7,9,200
2005-0006-MEX,2005,Technological,Technological,Transport accident,,Mexico,MEX,Central America,Between Tijuana and Mexico,2005,1,5,2005,1,5,12,13
2005-0120-PHL,2005,Natural,Meteorological,Storm,Roke (Auring/02W),Philippines (the),PHL,South-Eastern Asia,Leyte district (Region VIII (Eastern Visayas) province),2005,3,15,2005,3,17,18,
2005-0022-TCD,2005,Technological,Technological,Transport accident,,Chad,TCD,Middle Africa,Ngaoudéré,2005,1,13,2005,1,14,14,28
2005-0052-USA,2005,Technological,Technological,Transport accident,,United States of America (the),USA,Northern America,Los Angeles,2005,1,26,2005,1,26,11,180
2005-0148-USA,2005,Technological,Technological,Industrial accident,Raffinerie BP,United States of America (the),USA,Northern America,Houston (Texas),2005,3,23,2005,3,23,15,170
2005-0223-IDN,2005,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Jongar, Lawe Mengkudu, Lawe Penanggalan, Jambur Lak Lak, Badar villages (Aceh Tenggara district, Nangroe Aceh Darussalam province)",2005,4,26,2005,4,27,47,18
2005-0589-IDN,2005,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Lawe Beringan, Semadam Awal villages (Semadam area, Aceh Tenggara district, Nangroe Aceh Darussalam province), Tirtoyudo, Sumbermanjing Wetan, Dampit, Ampilgading villages (Malang district, Jawa Timur province)",2005,10,18,2005,10,19,28,211
2005-0261-BGD,2005,Natural,Hydrological,Flood,,Bangladesh,BGD,Southern Asia,"Maulvibazar, Habiganj districts (Sylhet province)",2005,5,25,2005,5,28,13,
2005-0590-BGD,2005,Natural,Hydrological,Flood,,Bangladesh,BGD,Southern Asia,"Naogaon, Joypurhat district (Rajshahi province), Gaibandha, Rangpur, Nilphamari, Dinajpur districts (Rangpur province)",2005,10,3,2005,10,20,19,
2005-0375-BGD,2005,Natural,Hydrological,Flood,,Bangladesh,BGD,Southern Asia,"Kurigram, Gaibandha, Lalmonirhat, Rangpur, Nilphamari districts (Rangpur province), Sherpur, Jamalpur, Dhaka, Narayanganj, Munshiganj, Madaripur, districts (Dhaka province), Sirajganj, Bogra districts (Rajshahi province)",2005,7,7,2005,7,27,23,
2005-0190-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Manikganj district (Dhaka province), Natore, Sirajganj, Pabna districts (Rajshahi province)",2005,3,31,2005,3,31,24,500
2005-0247-BGD,2005,Technological,Technological,Transport accident,"Ferry ""Prince of Patuakhali""",Bangladesh,BGD,Southern Asia,Near Galachipa (Patuakhali district),2005,5,15,2005,5,15,40,
2005-0251-BGD,2005,Technological,Technological,Transport accident,Ferry,Bangladesh,BGD,Southern Asia,Aricha,2005,5,17,2005,5,17,115,
2005-0794-BGD,2005,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,"Mandaripur, Dhaka",2005,4,9,2005,4,9,56,
2005-0796-BGD,2005,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,"Barisal, Bhola",2005,5,19,2005,5,19,30,
2005-0800-BGD,2005,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,"Chittagong, Cox's Bazar (Bay of Bengal)",2005,8,2,2005,8,3,75,
2005-0801-BGD,2005,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,Bay of Bengal,2005,8,5,2005,8,5,27,
2005-0194-BGD,2005,Technological,Technological,Industrial accident,Garments factory,Bangladesh,BGD,Southern Asia,Palash Bari (Near Dacca),2005,4,11,2005,4,11,151,
2005-0259-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Lakshmipur, Cox's Bazar districts (Chittagong province), Rajbari district (Dhaka province)",2005,5,21,2005,5,22,10,6
2005-0273-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,Pabna district (Rajshahi province),2005,5,14,2005,5,14,2,100
2005-0282-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Rangpur, Dinadjpur districts (Rangpur province)",2005,5,6,2005,5,6,11,
2005-0391-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,Cox's Bazar district (Chittagong province),2005,6,30,2005,6,30,35,
2005-0537-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Barisal, Chittagong, Khulna provinces",2005,9,20,2005,9,20,16,
2005-0591-CAN,2005,Natural,Hydrological,Flood,,Canada,CAN,Northern America,"Stephenville & Kippens towns (Division No. 4 district, Newfoundland and Labrador province), Reidville town (Division No. 5 district, Newfoundland and Labrador province)",2005,9,27,2005,9,29,,
2005-0728-CAN,2005,Natural,Hydrological,Flood,,Canada,CAN,Northern America,"Black Diamond, High River, Otokoks, Turner Valley towns (Division No. 6 district, Alberta province), Pincher Creek city (Division No. 3 district, Alberta province), Lethbridge city (Division No. 2 district, Alberta province), Siksika Reserve, Drumheller cities (Division No. 5 district, Alberta province), Red Deer city (Division No. 8 district, Alberta province)",2005,6,7,2005,7,1,4,
2005-0383-CAN,2005,Natural,Climatological,Wildfire,,Canada,CAN,Northern America,Québec province,2005,7,,2005,7,,,
2005-0460-CAN,2005,Natural,Climatological,Wildfire,,Canada,CAN,Northern America,Ontario province,2005,8,,2005,8,,,
2005-0764-CAN,2005,Technological,Technological,Miscellaneous accident,Food poisoning,Canada,CAN,Northern America,Ontario,2005,11,30,2005,12,1,,506
2005-0780-CAN,2005,Technological,Technological,Miscellaneous accident,Poisoning,Canada,CAN,Northern America,Burlington,2005,5,8,2005,5,8,,155
2005-0553-CAN,2005,Natural,Meteorological,Storm,,Canada,CAN,Northern America,"Montreal, Acton, Beauharnois-Salaberry, Brome-Missisquoi, La Haute-Yamaska, Marguerite-D'Youville, La Vallée-du-Richelieu, Pierre-De Saurel, Le Haut-Richelieu, Le Haut-Saint-Laurent, Les Jardins-de-Napierville, Les Maskoutains, Roussillon, Rouville, Vaudreuil-Soulanges, Longueuil, Coaticook, Le Granit, Le Haut-Saint-Francois, Les Sources, Le Val-Saint-François, Memphrémagog, Sherbrooke districts",2005,9,26,2005,9,29,,
2005-0484-GIN,2005,Natural,Biological,Epidemic,Cholera,Guinea,GIN,Western Africa,"Conakry, Boke, Boffa, Coyah, Forecariah, Kindia, Pita prefectures",2005,4,11,2005,10,30,72,
2005-0493-GIN,2005,Technological,Technological,Transport accident,,Guinea,GIN,Western Africa,Tanènè,2005,9,2,2005,9,2,10,15
2005-0202-IDN,2005,Natural,Geophysical,Volcanic activity,Mt. Talang,Indonesia,IDN,South-Eastern Asia,Solok district (Sumatera Barat province),2005,4,12,2005,4,12,,
2005-0487-IDN,2005,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,Kota Padang district (Sumatera Barat province),2005,9,2,2005,9,2,25,10
2005-0430-IDN,2005,Natural,Climatological,Wildfire,,Indonesia,IDN,South-Eastern Asia,"Sintang, Sanggau, Ketapang districts (Kalimatan Barat province), Kotawaringin Timur, Katingan, Seruyan, Kapuas (Kalimantan Tengah province), Kota Baru, Tapin, Hulusungai Selatan, Banjar, Tanahlaut (Kalimantan Selatan province) (Sumatra Isl.)",2005,8,9,2005,8,9,,
2005-0495-IDN,2005,Technological,Technological,Transport accident,Boeing 737-200,Indonesia,IDN,South-Eastern Asia,Medan (Sumatra),2005,9,5,2005,9,5,150,
2005-0353-IDN,2005,Technological,Technological,Transport accident,"Ferry ""Digul""",Indonesia,IDN,South-Eastern Asia,Arafura sea (Papua province),2005,7,7,2005,7,7,200,
2005-0549-IDN,2005,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Sulawesi Isl.,2005,9,24,2005,9,24,18,
2005-0788-IDN,2005,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Jakarta,2005,6,30,2005,6,30,2,125
2006-0678-IDN,2006,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,"Muara Sipongi area (Mandailingnatal district, Sumatera Utara province)",2006,12,17,2006,12,17,8,200
2006-0099-IDN,2006,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Kota Manado, Minahasa districts (Sulawesi Utara province)",2006,2,13,2006,2,23,39,39
2006-0311-IDN,2006,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Sinjai, Jeneponto, Bulukumba, Bantaeng, Luwu Utara, Bone, Gowa, Sidenrengrappang, Selayar, Wajo, Soppeng (Sulawesi Selatan province)",2006,6,19,2006,6,23,236,56
2006-0332-IDN,2006,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Tanahlaut, Kota Baru, Tanahbumbu districts (Kalimantan Selatan province)",2006,6,25,2006,6,29,52,
2006-0074-IDN,2006,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Lasem, Pamotan, Sedan areas (Rembang district, Jawa Tengah province), Demak, Kota Semarang, Semarang districts (Jawa Tengah province), Indramayu district (Jawa Barat province), Dki Jakarta province",2006,1,26,2006,2,14,19,
2006-0192-IDN,2006,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Bendungan, Trenggalek, Ogalan, Karangan, Tugu, Durenan, Gandu Sari areas (Trenggalek district, Jawa Timur province), Ponorogo district (Jawa Timur province), Karanganyar district (Jawa Tengah province)",2006,4,19,2006,4,23,22,2
2006-0328-IDN,2006,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,Kota Baru district (Kalimantan Selatan province),2006,6,24,2006,6,26,41,
2006-0231-IDN,2006,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,"Pela, Batu Junku, Waimarot, Wailawa, Waimoly villages (Bata Bual sub-district,Buru district, Maluku Utara province)",2006,3,14,2006,3,14,3,2
2006-0224-CAN,2006,Natural,Hydrological,Flood,,Canada,CAN,Northern America,"Fort Albany city (Cochrane district, Ontario province)",2006,4,22,2006,5,31,,
2006-0739-BGD,2006,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Rajshahi, Khulna provinces",2006,4,22,2006,4,24,4,150
2006-0510-BGD,2006,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Hatiya area (Noakhali district, Chittagong province), Bagerhat district (Khulna province), Patuakhali, Barguna districts (Barisal province)",2006,9,18,2006,10,5,115,
2006-0738-BGD,2006,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Tangail district (Dhaka province), Sirajganj district (Rajshahi province)",2006,4,8,2006,4,8,22,500
2006-0146-BGD,2006,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Bagerhat, Khulna districts (Khulna province)",2006,3,4,2006,3,4,4,549
2006-0262-BGD,2006,Natural,Hydrological,Flood,,Bangladesh,BGD,Southern Asia,"Khagrachhari district (Chittagong province), Sylhet province",2006,5,31,2006,7,24,,
2006-0502-BGD,2006,Natural,Hydrological,Flood,,Bangladesh,BGD,Southern Asia,"Jessore, Khulna, Satkhira districts (Khulna province)",2006,8,24,2006,9,20,,
2006-0737-BGD,2006,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,Dhaka province,2006,4,5,2006,4,6,9,65
2006-0020-BGD,2006,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,Savar,2006,1,13,2006,1,13,18,6
2006-0062-BGD,2006,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,Near Ryad,2006,2,2,2006,2,2,13,17
2006-0212-BGD,2006,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,West,2006,4,21,2006,4,21,35,
2006-0398-BGD,2006,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,Akkelpur,2006,7,11,2006,7,11,32,30
2006-0571-BGD,2006,Technological,Technological,Transport accident,Ferry,Bangladesh,BGD,Southern Asia,Near Dacca,2006,10,23,2006,10,23,60,
2006-0104-BGD,2006,Technological,Technological,Industrial accident,Textil factory,Bangladesh,BGD,Southern Asia,Chittagong,2006,2,23,2006,2,23,52,100
2006-0122-BGD,2006,Technological,Technological,Miscellaneous accident,Buidling,Bangladesh,BGD,Southern Asia,Dacca,2006,2,25,2006,2,25,20,47
2006-0067-BGD,2006,Technological,Technological,Miscellaneous accident,Slum area,Bangladesh,BGD,Southern Asia,Mohammedpur (Dhaka),2006,2,1,2006,2,1,,28
2006-0203-CAN,2006,Natural,Hydrological,Flood,,Canada,CAN,Northern America,"Baie Verte, Middle Arm, Smith's Harbour, Burlington cities (Division No.8 district, Newfoundland and Labrador province)",2006,4,18,2006,4,24,,
2006-0206-CAN,2006,Natural,Hydrological,Flood,,Canada,CAN,Northern America,"Red Earth First Nation, Porcupine Plain cities (Division No.14 district, Saskatchewan province), Fishing Lake (Division No.10 district, Saskatchewan province)",2006,4,12,2006,4,20,,
2006-0261-CAN,2006,Natural,Hydrological,Flood,,Canada,CAN,Northern America,"Aklavik city (Region 1 district, Northwest Territories province)",2006,5,26,2006,6,2,,
2006-0269-CAN,2006,Natural,Hydrological,Flood,,Canada,CAN,Northern America,"Grand Forks city (Kootenay Boundary district, British Columbia province), Nelson city (Central Kootenay district, British Columbia province), Penticton city (Okanagan-Similkameen district, British Columbia province)",2006,5,20,2006,5,28,1,
2006-0531-GIN,2006,Natural,Hydrological,Flood,,Guinea,GIN,Western Africa,Kindia district (Kindia province),2006,8,31,2006,9,1,,
2006-0185-GIN,2006,Natural,Biological,Epidemic,Meningococcal Disease,Guinea,GIN,Western Africa,Mandiana prefecture (Kankan region),2006,1,1,2006,3,31,18,
2006-0324-GIN,2006,Natural,Biological,Epidemic,Cholera,Guinea,GIN,Western Africa,"Gueckedou, Kissidougou, N'zerekore, Lola districst of Farnah and Conakry",2006,1,,2006,10,22,111,
2006-0010-GIN,2006,Technological,Technological,Transport accident,,Guinea,GIN,Western Africa,Between Boké-Gaoual (North-West),2006,1,4,2006,1,4,19,30
2006-0286-GIN,2006,Technological,Technological,Transport accident,,Guinea,GIN,Western Africa,Limsam,2006,5,25,2006,5,25,11,10
2006-0685-GIN,2006,Technological,Technological,Transport accident,,Guinea,GIN,Western Africa,Near Kankan,2006,12,23,2006,12,23,13,10
2006-0279-IDN,2006,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,"Kulonprogo, Sleman, Kota Yogyakarta, Gunungkidul, Bantul districts (Daerah Istimewa Yogyakarta province), Purworejo, Kota Klaten, Magelang, Klaten, Boyolali districts (Jawa Tengah province)",2006,5,26,2006,5,26,5778,137883
2006-0705-IDN,2006,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,Bima district (Nusatenggara Barat province),2006,12,1,2006,12,1,1,14
2006-0372-IDN,2006,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,"Tasikmalaya, Kota Tasikmalaya, Ciamis, Sukabumi, kota Sukabumi, Garut districts (Jawa Barat province), Cilacap, Kebumen, Banyumas districts (Jawa Tengah province), Gunungkidul, Bantul district (Daerah Istimewa Yogyakarta province)",2006,7,17,2006,7,17,802,543
2006-0196-IDN,2006,Natural,Geophysical,Volcanic activity,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,"Boyolali, Magelang, Kota Magelang, Kota Klaten, Klaten districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",2006,4,18,2006,5,15,,
2006-0343-IDN,2006,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Bolaangmongondow district (Sulawesi Utara province), Kota Gorontalo, Bonebolango, Gorontalo districts (Gorontalo province)",2006,6,23,2006,6,27,,
2006-0007-IDN,2006,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,"Sijeruk village (Banjarnegara district, Jawa Tengah province)",2006,1,1,2006,1,4,156,13
2006-0069-IDN,2006,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,"Lombok Barat, Lombok Tengah, Lombok Timur, Kota Mataram districts (Nusatenggara Barat province), Belu, Timor Tengah Selatan, Timor Tengah Utara, Kupang, Rotendao, Kota Kupang districts (Nusatenggara Timur province), Bali province",2006,1,22,2006,1,27,11,
2006-0668-IDN,2006,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,Solok district (Sumatera Barat province),2006,12,15,2006,12,15,17,
2006-0471-IDN,2006,Natural,Climatological,Wildfire,,Indonesia,IDN,South-Eastern Asia,"Muarojambi, Tanjungjabung Timur districts (Jambi province), Ogan Komering Ilir, Banyuasin, Musibanyuasin districts (Sumatera Selatan province), Ketapang district (Kalimantan Barat province), Kotawaringin Timur, Kotawaringin Barat, Pulangpisau, Seruyan, Sukamara districts (Kalimantan Tengah province), Banjar, Hulusungai Selatan districts (Kalimantan Selatan province)",2006,8,,2006,8,,,200
2006-0661-IDN,2006,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Papua province,2006,11,17,2006,11,17,12,
2006-0001-IDN,2006,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Pamekasan (Madura Isl.),2006,1,1,2006,1,1,11,14
2006-0052-IDN,2006,Technological,Technological,Transport accident,"Inter-island ferry ""Citra Mandala Bakti""",Indonesia,IDN,South-Eastern Asia,Coast of Nusa Tengarra East province,2006,1,31,2006,1,31,36,
2006-0167-IDN,2006,Technological,Technological,Transport accident,Cargo,Indonesia,IDN,South-Eastern Asia,Near Timor Isl.,2006,4,6,2006,4,6,29,
2006-0202-IDN,2006,Technological,Technological,Transport accident,Ferry,Indonesia,IDN,South-Eastern Asia,Between Endau and Rote Isl. (near Timor),2006,4,18,2006,4,18,10,
2006-0325-IDN,2006,Technological,Technological,Transport accident,Ferry,Indonesia,IDN,South-Eastern Asia,Near Sumatra Isl.,2006,6,21,2006,6,22,35,
2006-0692-IDN,2006,Technological,Technological,Transport accident,"Ferry ""Trista I""",Indonesia,IDN,South-Eastern Asia,Between Sumatra and Bangka Islands,2006,12,29,2006,12,29,50,
2006-0696-IDN,2006,Technological,Technological,Transport accident,"Ferry ""Senopati Nusantara""",Indonesia,IDN,South-Eastern Asia,Around Mandalika Isl. (Near Java Isl.),2006,12,30,2006,12,31,400,
2006-0198-IDN,2006,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Java Isl.,2006,4,15,2006,4,15,13,26
2006-0608-IDN,2006,Technological,Technological,Industrial accident,,Indonesia,IDN,South-Eastern Asia,Porong (Java Isl),2006,11,22,2006,11,22,12,11
2006-0609-IDN,2006,Technological,Technological,Industrial accident,,Indonesia,IDN,South-Eastern Asia,"Java Island, Lusi volcano, near Sidoarjo",2006,5,29,2006,5,29,13,
2006-0240-IDN,2006,Technological,Technological,Industrial accident,Gold mine,Indonesia,IDN,South-Eastern Asia,Lubuk Ulang Aling (Sumatra),2006,5,6,2006,5,6,11,
2006-0501-IDN,2006,Technological,Technological,Miscellaneous accident,,Indonesia,IDN,South-Eastern Asia,Jakarta,2006,9,8,2006,9,8,23,
2007-0066-CAN,2007,Natural,Meteorological,Storm,,Canada,CAN,Northern America,"Ontario, Quebec provinces",2007,2,14,2007,2,15,2,
2007-0016-IDN,2007,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,"Tahuna, Dumuhung, Soa Taloara villages (Kepulauan-sangihe district, Sulawesi Utara province)",2007,1,12,2007,1,14,32,
2007-0004-BGD,2007,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,Comilla,2007,1,6,2007,1,6,41,14
2007-0050-IDN,2007,Natural,Hydrological,Flood,,Indonesia,IDN,South-Eastern Asia,"Kota Jakarta Barat, Kota Jakarta Selatan districts (Dki Jakarta province), Tangerang district (Banten province), Bekasi, Bogor, Kota Depok districts (Jawa Barat province)",2007,1,31,2007,2,22,68,1
2007-0011-IDN,2007,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,Padangpariaman district (Sumatera Barat province),2007,1,9,2007,1,9,11,
2007-0002-IDN,2007,Technological,Technological,Transport accident,Boeing,Indonesia,IDN,South-Eastern Asia,Sulawesi Isl.,2007,1,1,2007,1,1,102,
2007-0001-IDN,2007,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Near Borneo Isl.,2007,1,1,2007,1,1,15,
2007-0029-IDN,2007,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Banyumas (Java Isl.),2007,1,16,2007,1,16,5,100
2007-0067-IDN,2007,Natural,Biological,Epidemic,,Indonesia,IDN,South-Eastern Asia,Jakarta,2007,2,,2007,2,,22,
2005-0669-PHL,2005,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Naujan, Calapan, Victoria, Pola, Pinamalayn, Baco, Puerto Princesa, Barangay Biga, Barangay Malabo areas (Mindoro Oriental district, Region IV province), Aborlan, Dumaran, Taytay, Barangay Sta. Maria, Roxas, San Vicente areas (Palawan district, Region IV province), Victoria, Capalonga, Labo areas (Camarines Norte districts Region V province), Bato area (Catanduanes district, Region V province), Pagbilao, Mauban, Lucena, Candelaria areas (Quezon district, Region IV-A province), Palo area (Leyte district, Region VIII province), Dipaculao, Casiguran, Tinib areas (Aurora district, Region III province), Albay, Camarines Sur, Masbate, Sorsogon district (Region V province), Negros Occidental, Aklan, Iloilo districts (Region VI province)",2005,12,5,2005,12,29,4,
2005-0467-USA,2005,Natural,Meteorological,Storm,Katrina,United States of America (the),USA,Northern America,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",2005,8,29,2005,9,19,1833,
2005-0540-PHL,2005,Natural,Meteorological,Storm,Damrey,Philippines (the),PHL,South-Eastern Asia,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region) provinces",2005,9,15,2005,9,22,16,
2005-0585-USA,2005,Natural,Meteorological,Storm,"Hurricane ""Wilma""",United States of America (the),USA,Northern America,"Florida Keys, Naples areas (Collier district, Florida province)",2005,10,24,2005,10,24,4,
2005-0470-MEX,2005,Natural,Hydrological,Flood,,Mexico,MEX,Central America,"Veracruz, Michoacan, Oaxaca, Puebla provinces",2005,8,21,2005,8,30,30,
2005-0567-MEX,2005,Natural,Meteorological,Storm,Stan,Mexico,MEX,Central America,"Chiapas, Oaxaca, Veracruz, Puebla, Hidalgo, Tabasco provinces",2005,10,1,2005,10,13,36,
2005-0585-MEX,2005,Natural,Meteorological,Storm,"Hurricane ""Wilma""",Mexico,MEX,Central America,"Benito Juarez, Isla Mujeres, Cozumel districts (Quintana Roo province)",2005,10,19,2005,10,24,7,
2005-0283-MEX,2005,Natural,Hydrological,Flood,,Mexico,MEX,Central America,"District of Ocotlan, District Del Centro districts (Oaxaca province)",2005,5,5,2005,5,5,8,
2005-0286-USA,2005,Natural,Hydrological,Flood,,United States of America (the),USA,Northern America,Idaho province,2005,5,6,2005,5,8,,
2005-0583-USA,2005,Natural,Hydrological,Flood,,United States of America (the),USA,Northern America,"Keene, Alstead, Stoddard, Unity, Hinsdale, Walpole areas (Cheshire district, New Hampshire), Brattleboro, Guilford areas (Windham district, Vermont province), Pittsfield area (Berkshire district, Massachusetts province), Greenfield area (Franklin district, Massachusetts province), Northbridge, Worcester, Southbridge areas (Worcester district, Massachusetts), Spring Lake area (Monmouth district, New Jersey province), Wayne, Little Falls, Pompton Lakes areas (Passaic district, New Jersey province), Oakland, Lodi, Westwood areas (Bergen district, New Jersey province), Bound Brook area (Somerset district, New Jersey province), Tolland, Windham, Hartford districts (Connecticut province)",2005,10,8,2005,10,16,11,
2005-0524-MEX,2005,Natural,Meteorological,Storm,Bret,Mexico,MEX,Central America,"Naranjal, Chinampa De Gorostiza districts (Veracruz province)",2005,6,29,2005,6,30,2,
2005-0219-USA,2005,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,Rankin district (Mississippi province),2005,4,6,2005,4,8,,8
2005-0547-USA,2005,Natural,Meteorological,Storm,Rita,United States of America (the),USA,Northern America,"Louisiana, Texas, Mississippi provinces",2005,9,23,2005,10,1,10,
2005-0601-MEX,2005,Natural,Hydrological,Flood,,Mexico,MEX,Central America,"Chiapas, Oaxaca provinces",2005,9,26,2005,9,29,3,
2005-0382-MEX,2005,Natural,Meteorological,Storm,Emily,Mexico,MEX,Central America,"Playa del Carmen, Cozumel areas (Cozumel district, Quintana Roo province), Merida, Tizimin districts (Yucatan province)",2005,7,18,2005,7,18,2,
2005-0184-MEX,2005,Technological,Technological,Transport accident,,Mexico,MEX,Central America,North West,2005,4,6,2005,4,6,20,15
2005-0532-MEX,2005,Technological,Technological,Miscellaneous accident,Fireworks market,Mexico,MEX,Central America,Tltepec area (Mexico area),2005,9,15,2005,9,15,,104
2005-0244-PHL,2005,Technological,Technological,Transport accident,,Philippines (the),PHL,South-Eastern Asia,Near Tuba,2005,5,11,2005,5,11,24,9
