Year,WHO Region,World Bank Income Group,Country ISO Code,Country,Sex,Global,Value
2020,South-East Asia,Lower middle income,BGD,Bangladesh,,,5.524
2020,Americas,High income,CAN,Canada,,,7.831
2020,Africa,Low income,TCD,Chad,,,11.715
2020,Africa,Low income,GIN,Guinea,,,8.033
2020,South-East Asia,Lower middle income,IDN,Indonesia,,,6.567
2020,Americas,Upper middle income,MEX,Mexico,,,6.15
2020,Western Pacific,Lower middle income,PHL,Philippines,,,5.979
2020,Africa,Low income,TGO,Togo,,,8.199
2020,Americas,High income,USA,United States of America,,,8.947
