education_key,literacy_rate_percent_m_15_24,literacy_rate_percent_15_24,literacy_rate_percent_f_15_plus,literacy_rate_percent_m_15_plus,literacy_percent_15_plus,primary_completion_rate_percent_f,primary_completion_rate_percent_m,primary_completion_rate_percent,primary_enroll_rate_percent_gross,pimary_enroll_rate_percent_gross_f,pimary_enroll_rate_percent_gross_m,primary_enroll_rate_percent_net,primary_enroll_rate_percent_net_f,primary_enroll_rate_percent_net_m,secondary_enroll_rate_percent_gross,secondary_enroll_rate_percent_gross_f,secondary_enroll_rate_percent_gross_m,secondary_enroll_rate_percent_net,secondary_enroll_rate_percent_net_f,secondary_enroll_rate_percent_net_m,tertiary_enroll_rate_percent_gross,spending_education_percent_gdp
3000,83.90767184170811,85.86140233820134,62.37429705533116,68.52192237160425,65.42699536410247,68.8696670532227,63.8693199157715,66.3205490112305,101.647811889648,103.954536437988,99.430549621582,93.68999,93.66587,91.5114,46.9628295898438,48.4769515991211,45.5096092224121,43.94428,45.41747,42.53033,6.44670009613037,1.9404133160909
3001,83.90767184170811,85.86140233820134,62.37429705533116,68.52192237160425,65.42699536410247,67.78083515167236,61.65665721893313,64.65844249725342,102.416152954102,105.258392333984,99.6859512329102,93.43051,93.66587,91.5114,47.5297813415527,48.8530082702637,46.2574310302734,44.60284,45.90001,43.35556,7.36119985580444,2.13128995895386
3002,54.2743301391602,61.8728103637695,43.7408485412598,49.8323287963867,46.6636009216309,67.78083515167236,61.65665721893313,64.65844249725342,101.620246887207,105.24104309082,98.1419219970703,92.55219,93.66587,91.5114,48.3010597229004,49.5662803649902,47.0835113525391,45.41006,46.63704,44.22933,7.93297004699707,2.20221996307373
3003,83.90767184170811,85.86140233820134,62.37429705533116,68.52192237160425,65.42699536410247,61.9892082214355,56.1707000732422,59.0229911804199,99.5429306030273,102.592628479004,96.6122894287109,92.56719,93.66587,91.5114,46.2411193847656,49.0108909606934,43.5757598876953,52.81895583333333,55.859675,49.903886666666665,8.88409042358398,2.0545699596405
3004,83.90767184170811,85.86140233820134,62.37429705533116,68.52192237160425,65.42699536410247,68.4999465942383,62.5326614379883,65.4580383300781,102.92756652832,105.38208770752,100.56884765625,92.54123,93.66587,91.5114,49.9982414245605,51.9128303527832,48.1570014953613,46.3405,48.25183,44.50241,10.8580904006958,1.9394199848175
3005,83.90767184170811,85.86140233820134,62.37429705533116,68.52192237160425,65.42699536410247,71.764518737793,64.0539474487305,67.8321914672852,105.974548339844,109.253448486328,102.825469970703,90.53203,93.66587,91.5114,51.6376991271973,54.6750907897949,48.7195587158203,47.65124,50.41391,44.99704,14.239779313405359,1.9404133160909
3006,76.4033966064453,77.984992980957,55.1194381713867,62.4830589294434,58.7691802978516,67.78083515167236,61.65665721893313,64.65844249725342,107.23785654703781,110.71991390652123,103.89547899034294,92.55219,93.66587,91.5114,52.4313697814941,56.1982116699219,48.8114814758301,47.29212,50.83343,43.88896,13.6915597915649,2.13269996643066
3007,76.2763137817383,77.8329086303711,54.2360382080078,61.5428695678711,57.8607482910156,67.78083515167236,61.65665721893313,64.65844249725342,107.23785654703781,110.71991390652123,103.89547899034294,92.55219,93.66587,91.5114,55.2099685668945,58.8246116638184,51.7394218444824,49.66535,53.12643,46.34225,13.8009996414185,2.17549991607666
3008,84.0944976806641,85.5271530151367,57.7890014648438,64.2137680053711,61.0155410766602,67.78083515167236,61.65665721893313,64.65844249725342,107.23785654703781,110.71991390652123,103.89547899034294,92.55219,93.66587,91.5114,60.1687393188477,62.5847282409668,57.8526191711426,54.27441,56.53654,52.1058,13.5304203033447,1.96616005897522
3009,84.6286773681641,85.5547332763672,57.8609313964844,64.3650894165039,61.0932998657227,67.78083515167236,61.65665721893313,64.65844249725342,107.23785654703781,110.71991390652123,103.89547899034294,92.55219,93.66587,91.5114,58.98652064005534,62.53473434448243,55.58664881388346,52.81895583333333,55.859675,49.903886666666665,13.8650798797607,1.9404133160909
