health_key,death_by_communicable_diseases_maternal_prenatal_and_nutrition_conditions_percent,death_by_non_communicable_diseases_percent,people_using_at_least_basic_drinking_water_services_percent,people_using_safely_managed_drinking_water_services,hospital_beds,community_health_workers,nurses_and_midwives,physicians,specialist_surgical_workforce,incidence_of_malaria,intermittent_preventive_treatment_of_malaria_in_pregnancy,use_of_insecticide_treated_bed_nets,children_with_fever_receiving_antimalarial_drugs,malaria_cases_reported,people_practicing_open_defecation_rural,people_practicing_open_defecation_urban,people_practicing_open_defecation,people_using_safely_managed_sanitation_services,mortality_rate_attributed_to_unsafe_water_unsafe_sanitation_and_lack_of_hygiene,current_health_expenditure,current_health_expenditure_per_capita,domestic_general_government_health_expenditure,domestic_general_government_health_expenditure_per_capita,external_health_expenditure_per_capita
1024,0.9732822211188976,16.69881945870035,99.23268617,98.70725106,2.72,0.0,9.4788,2.4509,36.27,0.0,0.0,0.0,0.0,0.0,0,0,0,82.02636889,0.025,10.40513706,5443.625,70.7170639,70.7170639,0
1025,0.9732822211188976,16.69881945870035,99.23098502,98.76270793,2.67,0.0,9.7475,2.4961,7.214375,0.0,0.0,0.0,0.0,0.0,0,0,0,82.41547978,0.025,10.24852657,5189.01464844,70.56432343,70.56432343,0
1026,5.58540227423586,88.6363987933695,99.22922139,98.81806216,2.62,0.0,9.8188,2.5388,35.29,0.0,0.0,0.0,0.0,0.0,0,0,0,82.80387768,0.025,10.73320484,4637.21142578,70.62810516,70.62810516,0
1027,0.9732822211188976,16.69881945870035,99.22739547,98.87330686,2.6,0.0,9.9194,2.3105,43.87,0.0,0.0,0.0,0.0,0.0,0,0,0,83.1915656,0.4,11.02296066,4629.375,69.65316772,69.65316772,0
1028,0.9732822211188976,16.69881945870035,99.22553764,98.92850562,2.53,0.0,9.9491,2.6102,7.214375,0.0,0.0,0.0,0.0,0.0,0,0,0,83.5785755,0.025,10.83538342,4865.07080078,69.79706573,69.79706573,0
1029,0.9732822211188976,16.69881945870035,99.22363119,98.98362633,2.55,0.0,9.9874,2.4251,7.214375,0.0,0.0,0.0,0.0,0.0,0,0,0,83.97367373,0.025,10.80637455,5018.71142578,70.16950989,70.16950989,0
1030,4.77225226729925,89.8086329490656,99.22164984,99.03861451,2.52,0.0,11.812,2.4425,7.214375,0.0,0.0,0.0,0.0,0.0,0,0,0,84.36813002,0.025,10.84447765,5048.37255859,70.16747284,70.16747284,0
1031,0.9732822211188976,16.69881945870035,99.22181066,99.03894727,2.581875,0.0,9.335925000000001,1.59851875,7.214375,0.0,0.0,0.0,0.0,0.0,0,0,0,84.36839322,0.025,9.665349899999997,4433.88771057125,65.89080381375,65.89080381375,0.0
1032,12.40386806223175,4.7408525628147125,41.14046577,5.629369492,0.4,0.0,0.11855624999999999,0.021768750000000003,0.018125,198.921261848455,0.9125,2.8875,4.35,31668,84.09813571,17.75628995,69.63495209,8.712721622,6.3125,4.84111404,31.99307251,29.53808022,29.53808022,10.05190372
1033,12.40386806223175,4.7408525628147125,41.45868775,5.622973716,0.025,0.0,0.1808,0.0352,0.018125,205.630699574519,0.9125,2.8875,4.35,45155,83.73650691,17.67902107,69.31351561,8.735437119,6.3125,4.86643219,34.67246628,20.45421791,20.45421791,11.12030315
1034,12.40386806223175,4.7408525628147125,41.7757177,5.615456526,0.025,0.0,0.11855624999999999,0.021768750000000003,0.018125,210.711861061182,0.9125,2.8875,4.35,48288,83.37487811,17.60175218,68.99160754,8.758663425,6.3125,4.34312963,34.87197113,23.54967499,23.54967499,6.29343033
1035,12.40386806223175,4.7408525628147125,42.09069088,5.606561025,0.025,0.0,0.11855624999999999,0.021768750000000003,0.018125,215.098525264906,0.9125,2.8875,4.35,47757,83.01324931,17.52448329,68.67055747,8.782082065,6.3125,4.0595479,37.86497879,19.59093475,19.59093475,5.85889244
1036,12.40386806223175,4.7408525628147125,42.40402243,5.59641721,0.025,0.0,0.11855624999999999,0.021768750000000003,0.018125,222.913090220721,0.9125,2.8875,4.35,0,82.6516205,17.4472144,68.34968512,8.834288152,6.3125,4.44166517,35.82932663,20.85106087,20.85106087,8.12647915
1037,69.3369733009343,23.2731350349084,42.72317538,5.58746767,0.025,0.0,0.11855624999999999,0.021768750000000003,0.018125,225.941213766162,6.1,9.8,42.7,200448,82.2899917,17.36994552,68.01731876,8.895495427,6.3125,4.06023169,36.32339096,20.98161507,20.98161507,5.94576263
1038,12.40386806223175,4.7408525628147125,43.04789724,5.579809414,0.025,0.0,0.11855624999999999,0.021768750000000003,0.018125,210.483636004928,0.9125,2.8875,4.35,181126,81.9283629,17.29267663,67.67360966,8.966240509,6.3125,3.91046619,38.54948807,21.41591072,21.41591072,12.4317503
1039,12.40386806223175,4.7408525628147125,43.37833546,5.573681701,0.025,0.0,0.2782,0.0413,0.018125,195.336409273499,0.9125,2.8875,4.35,7710,81.5667341,17.21540774,67.31806417,9.047280285,6.3125,3.85607743,37.40947342,24.77817154,24.77817154,10.58332825
1040,12.40386806223175,4.7408525628147125,43.71380254,5.569050119,0.025,0.0,0.3383,0.0433,0.29,179.351243472445,0.9125,2.8875,4.35,754565,81.20510529,17.13813886,66.95148414,9.138990094,6.3125,4.06645155,39.96808624,27.94080734,27.94080734,8.27959061
1041,12.40386806223175,4.7408525628147125,44.05402607,5.566019428,0.025,0.0,0.2639,0.0445,0.018125,170.274752108924,0.9125,2.8875,4.35,914032,80.84347649,17.06086997,66.57403452,9.241946941,6.3125,4.27316856,43.7831459,28.88875008,28.88875008,10.50218391
1042,65.6773972195104,25.5950533243489,44.39909697,5.564838707,0.025,0.0,0.2525,0.0493,0.018125,167.283774054721,8.5,36.4,26.9,787046,80.48184769,16.98360108,66.18521818,9.356973052,6.3125,4.52395439,35.10715103,21.26423645,21.26423645,17.027771
1043,12.40386806223175,4.7408525628147125,44.74869976,5.565620778,0.025,0.0,0.2133,0.0371,0.018125,169.933606281123,0.9125,2.8875,4.35,1294768,80.12021889,16.90633219,65.78520452,9.484698858,101,5.05077505,35.39419937,16.28377724,16.28377724,22.08400726
1044,12.40386806223175,4.7408525628147125,45.10250956,5.568481244,0.025,0.0,0.2322,0.0434,0.018125,172.301485147748,0.9125,2.8875,4.35,1962372,79.75859008,16.82906331,65.37415852,9.625769072,6.3125,4.55722904,30.59851456,15.27571392,15.27571392,20.31200409
1045,12.40386806223175,4.7408525628147125,45.46056009,5.573686802,0.025,0.0,0.11855624999999999,0.021768750000000003,0.018125,164.831958202916,0.9125,2.8875,4.35,1364706,79.39696128,16.75179442,64.95161324,9.781107203,6.3125,4.1669445,29.69879913,16.74612427,16.74612427,15.40028477
1046,63.4475184752633,26.9854526457781,45.82211121,5.58120967,0.025,0.0,0.1377,0.0542,0.018125,169.3133447676406,0.9125,2.8875,4.35,477477.5625,79.03533248,16.67452553,64.51836105,9.951135834,6.3125,4.3536315,29.85083008,17.31443024,17.31443024,20.43448448
1047,12.40386806223175,4.7408525628147125,46.18753479,5.591479791,0.025,0.0,0.11855624999999999,0.021768750000000003,0.018125,169.3133447676406,0.9125,2.8875,4.35,477477.5625,78.67370368,16.59725664,64.07332241,10.13711759,6.3125,4.085676176875,33.244680881250005,20.304594100624996,20.304594100624996,11.528261005625
1048,11.302776600959994,5.875423814985638,58.02753803,0.0,0.3,0.0323125,0.0337875,0.1032,0.0,342.007456980752,2.8,1.4,43.5,50452,33.95823276,1.583709444,23.51518208,0.0,2.7875,4.04247189,19.9973259,6.46363783,6.46363783,22.97237587
1049,11.302776600959994,5.875423814985638,58.9860001,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,335.498093403103,4.975,8.2125,10.65,54227,32.90276933,1.544313095,22.69904019,0.0,2.7875,3.61069894,16.37116814,6.87836933,6.87836933,21.59774399
1050,11.302776600959994,5.875423814985638,59.94241799,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,343.689047430286,4.975,5,74,44518,31.84730591,1.504916746,21.88832666,0.0,2.7875,3.43232441,22.65229225,7.01178837,7.01178837,20.70934296
1051,11.302776600959994,5.875423814985638,60.89677769,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,370.165059418023,4.975,4.5,10.65,33405,30.79184248,1.465520397,21.08307118,0.0,2.7875,3.26223779,23.32743073,8.26405334,8.26405334,20.00595093
1052,11.302776600959994,5.875423814985638,61.84906636,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,398.140693885375,4.975,8.2125,10.65,35841,29.73637906,1.426124048,20.28330254,0.0,2.7875,3.57716823,24.11286354,7.27534056,7.27534056,19.48163223
1053,62.9671102176884,29.1475524000434,62.7995854,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,414.662415297707,4.975,8.2125,10.65,20936,28.68091563,1.386727698,19.48877842,0.0,2.7875,3.42734981,23.04636955,10.59064388,10.59064388,19.42544937
1054,11.302776600959994,5.875423814985638,63.00836034,0.0,0.3,0.0323125,0.0337875,0.016993750000000002,0.0,426.895014893298,4.975,8.2125,10.65,95574,27.62545221,1.347331349,18.69982571,0.0,2.7875,3.78955078,24.67529106,13.46775627,13.46775627,25.90081406
1055,11.302776600959994,5.875423814985638,63.19359942,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,427.796405418234,11.2,26,28.1,340258,26.56998878,1.307935,17.91647258,0.0,2.7875,3.50398302,24.29986,14.67796898,14.67796898,21.98635292
1056,11.302776600959994,5.875423814985638,63.35559582,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,408.078678608599,4.975,8.2125,10.65,211257,25.51452536,1.268538651,17.13874885,0.0,2.7875,3.46079683,26.61382103,14.11770439,14.11770439,22.58372688
1057,11.302776600959994,5.875423814985638,63.49465264,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,381.09133106806,4.975,8.2125,10.65,660207,24.45906194,1.229142302,16.36668725,0.0,2.7875,4.78097677,37.69287872,12.77202225,12.77202225,18.49852562
1058,59.9171905098499,31.5859447732273,63.61538954,0.0,0.0375,0.0323125,0.4168,0.0855,0.0,356.641074392657,4.975,8.2125,10.65,810979,23.40359851,1.189745952,15.59742902,0.0,2.7875,5.80920601,44.68756485,7.39020252,7.39020252,23.46262932
1059,11.302776600959994,5.875423814985638,63.71828612,0.0,0.0375,0.517,0.1238,0.0832,0.0,331.474624298267,29.9,67.9,10.65,992146,22.34813509,1.150349603,14.83140003,0.0,44.6,5.39708233,39.52141953,12.29850578,12.29850578,27.23295593
1060,11.302776600959994,5.875423814985638,63.80385578,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,311.530227098932,4.975,8.2125,10.65,1335323,21.29267166,1.110953254,14.0690295,0.0,2.7875,3.91060591,33.49687195,15.34208107,15.34208107,9.49532795
1061,11.302776600959994,5.875423814985638,63.87264074,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,283.887393658857,35.7,26.6,24.8,1214996,20.23720824,1.071556905,13.31074144,0.0,2.7875,3.63913226,35.70616531,16.51498604,16.51498604,10.79292297
1062,57.9601248878216,33.2732838664995,63.92485202,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,320.7223447407594,4.975,8.2125,10.65,368757.4375,19.18174481,1.032160556,12.55714648,0.0,2.7875,3.98389959,43.03782272,22.52398682,22.52398682,10.7964468
1063,11.302776600959994,5.875423814985638,63.96178874,0.0,0.0375,0.0323125,0.0337875,0.016993750000000002,0.0,320.7223447407594,4.975,8.2125,10.65,368757.4375,18.12628139,0.992764206,11.80829729,0.0,2.7875,3.726717785625,27.452446580000004,10.974315464375001,10.974315464375001,18.4338873625
1064,4.13330095250485,13.654204310350769,80.02217385,0.0,0.471875,0.0,0.44745,0.1601125,0.0,9.73724945961692,0.0,0.23125,0.1125,437323,37.137722,11.31019562,25.27204,0.0,0.44375,2.53189397,34.78797531,28.91632652,28.91632652,1.62566602
1065,4.13330095250485,13.654204310350769,80.92466101,0.0,0.471875,0.0,0.44745,0.1601125,0.0,8.08944732016153,0.0,0.23125,0.1125,347597,35.4054939,10.70566745,23.86128959,0.0,0.44375,2.6194644,45.2936058,31.71804619,31.71804619,1.35958791
1066,4.13330095250485,13.654204310350769,81.81767312,0.0,0.471875,0.0,0.44745,0.1601125,0.0,7.7023296889635,0.0,3.7,0.8,311789,33.67326579,10.10113929,22.46825531,0.0,0.44375,2.82385564,57.12649536,36.07474518,36.07474518,1.65610051
1067,4.13330095250485,13.654204310350769,82.70159068,0.0,0.471875,0.0,0.44745,0.1601125,0.0,7.50115020079755,0.0,0.23125,0.1125,461060,31.94103769,9.496611123,21.09252401,0.0,0.44375,2.54842281,60.42224503,35.23404312,35.23404312,1.17098367
1068,4.13330095250485,13.654204310350769,83.57565413,0.0,0.59,0.0,0.44745,0.2635,0.0,7.30436658025696,0.0,0.23125,0.1125,272491,30.20880959,8.892082959,19.73504906,0.0,0.44375,2.62324095,63.60499191,35.13375854,35.13375854,1.61047721
1069,25.3232657616765,69.0694680236578,84.43671954,0.0,0.57,0.0,0.44745,0.243,0.0,11.0219758554771,0.0,0.23125,0.1125,465764,28.47658149,8.287554795,18.39943063,0.0,0.44375,2.7908783,87.14134216,23.68755341,23.68755341,0.85548985
1070,4.13330095250485,13.654204310350769,85.27144926,0.0,0.62,0.0,0.44745,0.1601125,0.0,9.89210055118885,0.0,0.23125,0.1125,422447,26.74435339,7.683026631,17.10027532,0.0,0.44375,2.98942471,108.90615845,23.47513771,23.47513771,0.95810872
