population_key,birth_rate,population_ages_0-14_female,population_ages_0-14_male,population_ages_15-64_female,population_ages_15-64_male,population_ages_65_and_above_female,population_ages_65_and_above_male,population_total,population_growth,mortality_rate_infant,life_expectancy_at_birth_female,life_expectancy_at_birth_male
6000,24.053,34.5217030765266,34.214953122223,61.2429609022255,61.4159337686264,4.30386756246183,4.23533602124791,139035505,1.48474696408995,49.4,68.715,66.949
6001,23.384,34.0067893834996,33.8169062322044,61.6455255753353,61.7056455174323,4.41405087143509,4.34768504116512,140921154,1.34712103146787,47,69.24,67.318
6002,22.747,33.4752968728697,33.4035057012178,62.0681980541009,62.0170767921165,4.51926469056832,4.45650507302942,142660381,1.22663050489361,44.8,69.761,67.679
6003,22.153,32.9366297130732,32.9758067182168,62.505727436614,62.3517352758035,4.61617993332098,4.55764285031287,144304164,1.14564743804678,42.7,70.272,68.031
6004,21.605,32.3998269816199,32.5409763845715,62.9536947229883,62.7056022453165,4.70092139309264,4.64647829539186,145924795,1.11680643452794,40.7,70.773,68.37
6005,21.107,31.866534639367,32.1034057780871,63.4123349475572,63.0757362072991,4.77182482205879,4.72113041307576,147575433,1.1248068966134,38.9,71.257,68.694
6006,20.657,31.2738799054332,31.5609016968199,63.8987951013456,63.53584542895,4.86590089058153,4.82732499322112,149273134,1.14382867124819,37.2,71.721,68.996
6007,20.245,30.706570735743,31.0385734190198,64.3689330441528,63.984508198194,4.95111646054724,4.92449622010429,151005733,1.15400610453827,35.6,72.159,69.273
6008,19.862,30.1570122316635,30.5249581247441,64.8359154517467,64.4368351757594,5.02287429670233,5.00707231658976,152761413,1.15595091365323,34,72.571,69.526
6009,19.501,29.6122879351336,30.0071125770114,65.3205442239583,64.9117882223177,5.07423559635511,5.06716784090804,154517385,1.1429302161114,32.5,72.955,69.759
6010,19.156,29.0672259668561,29.4831067971803,65.8301203557205,65.4128498956356,5.1033559765625,5.10265367742341,156256287,1.11909103277687,31,73.316,69.978
6011,18.824,28.523418102046,28.9766531486812,66.3363747681665,65.892202654602,5.13561350228916,5.14020712978752,157977151,1.09528840382819,29.6,73.655,70.192
6012,18.501,27.9772498481375,28.4656848029954,66.8651580465795,66.3927498212295,5.14947500781286,5.15759210528303,159685421,1.07553524898766,28.2,73.978,70.409
6013,18.184,27.444213142561,27.961512157683,67.3872550119326,66.8899907424499,5.15839063962068,5.16853184550647,161376713,1.05357030023873,26.8,74.291,70.637
6014,17.868,26.9416907644607,27.4807532492353,67.8663564892496,67.3502203869833,5.18035134847486,5.19195274628967,163046173,1.02919664944804,25.5,74.595,70.877
6015,20.523133333333337,26.4733257992804,27.0295785537361,68.2861540133568,67.7566339048456,5.22700361322017,5.24052018736275,164689383,1.00277418143487,24.3,71.9506,69.11253333333333
6016,10.6,17.0900880943055,18.2718461775037,68.2194239314714,70.2104877104708,13.1175521289763,14.6904879742231,32243753,0.944466927450734,5.2,82.6,77.9
6017,10.9,16.8214572999572,17.9902189483594,68.3700149144499,70.3066965449834,13.2686809629914,14.8085277855928,32571174,1.01033450270045,5.2,82.7,78.1
6018,11.2,16.5615472834195,17.7192096573354,68.4928862623737,70.3777389057094,13.4366453478164,14.9455664542068,32889025,0.971135141368055,5.1,82.9,78.3
6019,11.3,16.3216886602335,17.4709495776037,68.5651265267231,70.4021631237946,13.631937571582,15.1131848130433,33247118,1.08290711607014,5.1,83,78.5
6020,11.3,16.1087254147818,17.2530740552502,68.5644302674881,70.360996281621,13.8679313187456,15.3268443177301,33628895,1.14175809912162,5,83.3,78.8
6021,11.1,15.9220651598145,17.063916672884,68.4804935650031,70.2487302417782,14.1536509017159,15.5974412751824,34004889,1.11186407517168,5,83.5,79.1
6022,11,15.852429788459,16.9869552119333,68.2793970877128,70.0009851201339,14.4512175296451,15.8681731238282,34339328,0.978697786570341,4.9,83.6,79.4
6023,11,15.7374948919549,16.8648432836135,68.0681668902312,69.7436888300849,14.8038988569679,16.1943382178139,34714222,1.08581726304756,4.9,83.8,79.6
6024,10.8,15.6137727310743,16.7296304702345,67.8216299195391,69.4530960842057,15.2018464818976,16.5645973493865,35082954,1.05659125917789,4.8,83.9,79.7
6025,10.8,15.517273696321,16.6147105677467,67.5242050334233,69.1188972788032,15.6233662776347,16.9585212702557,35437435,1.00533757867378,4.7,83.9,79.8
6026,10.7,15.4587384026344,16.5331235125927,67.176621318726,68.7461550061917,16.0536348121597,17.3646402786396,35702908,0.746339477969813,4.7,84,79.9
6027,10.6,15.3815360871829,16.4228655264258,66.866115834236,68.4403058513992,16.4550097979977,17.7523480785811,36109487,1.13234865466606,4.6,84,79.9
